Batch	VLoss
40	1.088229434357749
80	0.7637171745300292
120	0.5238503975172837
160	0.39569517307811314
200	0.3149223547014925
240	0.25058120271811885
280	0.19336816771990722
320	0.1691542120857371
360	0.1430237740278244
400	0.13094162433925602
440	0.12036278103995654
480	0.11350706809510785
520	0.10448082363129489
560	0.1048688759199447
600	0.09514404623769224
640	0.09152769827697839
680	0.09037689207535651
720	0.08712147923910782
760	0.07998655667890692
800	0.07911562865289548
840	0.07650756970461872
880	0.07735518353163368
920	0.07208431204263535
960	0.07566763526604821
1000	0.06775146981494294
1040	0.06538914241051921
1080	0.06404638801339185
1120	0.06445146943183823
1160	0.06288168010198407
1200	0.06119556424932347
1240	0.06778131503637672
1280	0.06393041579414986
1320	0.06203486492288195
1360	0.06922814178849673
1400	0.062168280619920954
1440	0.0637924900252579
1480	0.06333529945307721
1520	0.056977725419629775
1560	0.0571746144301465
1600	0.058169515182574585
1640	0.05889599878315089
1680	0.05687571591826983
1720	0.05889543553995383
1760	0.05564036437620719
1800	0.057488632595373526
1840	0.05423491455925007
1880	0.052988845909971535
1920	0.052620610784894474
1960	0.05482179575483315
2000	0.053447465654850625
2040	0.053026086838346795
2080	0.05471537152576881
2120	0.053972138531713024
2160	0.05112336196341655
2200	0.05138698303037219
2240	0.05040618747201127
2280	0.05498212162638083
2320	0.05235604643692365
2360	0.05118536001666345
2400	0.05076695177316044
2440	0.049403842611354776
2480	0.04927431433073555
2520	0.04865998261246002
2560	0.04798384812763995
2600	0.050864085008571334
2640	0.04889067714167241
2680	0.05676655499781999
2720	0.04736347008535328
2760	0.0462843208903602
2800	0.048396157029654
2840	0.047622676199858285
2880	0.04746339206273357
2920	0.049035629778194964
2960	0.04543670580217925
3000	0.04669675429694406
3040	0.04624656496808812
3080	0.04581771669391956
3120	0.04595104460248775
3160	0.04387165892371235
3200	0.045136380882468075
3240	0.044744711948118895
3280	0.04377535067841462
3320	0.04517845782296111
3360	0.040270164130359054
3400	0.04032635951039588
3440	0.04135437275868349
3480	0.04272537519379208
3520	0.045927587899819225
3560	0.039132968529075794
3600	0.03670478877352758
3640	0.035487019253196195
3680	0.03684095717552635
3720	0.041450613879230026
3760	0.045045223622259475
3800	0.03851853197071856
3840	0.039510580272892386
3880	0.04458493840421498
3920	0.04171488591317837
3960	0.04689277984693439
4000	0.036326905791712404
