Batch	Loss
40	1.3963582925498486
80	0.9040030677802862
120	0.6322907029651106
160	0.47298640785738827
200	0.3772670675534755
240	0.30919564695796
280	0.25279975932789966
320	0.2147473742836155
360	0.19050920811714606
400	0.1733204053132795
440	0.16039023190096488
480	0.14963474526884965
520	0.14100911765126511
560	0.13369525815360248
600	0.12801127354614436
640	0.12158730074006599
680	0.11628253266680987
720	0.11237730550201377
760	0.10876806221931475
800	0.10383207140257583
840	0.10012433667070582
880	0.09770367522432935
920	0.09682553038073821
960	0.09453145986117306
1000	0.09352599481499056
1040	0.08959704649896594
1080	0.08729759963025573
1120	0.08785631922000903
1160	0.08774877623218345
1200	0.08443421826959821
1240	0.08295325205617701
1280	0.08297984692981118
1320	0.0836147187066672
1360	0.08338292620283028
1400	0.07968898907711264
1440	0.08073210730071878
1480	0.07969817074117601
1520	0.07752824918352418
1560	0.07682061273044383
1600	0.07483572485616606
1640	0.07422300913458457
1680	0.07521115311483301
1720	0.0734922415258552
1760	0.0728887887127712
1800	0.0723999822856058
1840	0.07070313844669728
1880	0.0696777347020543
1920	0.06915766675265332
1960	0.06949973348127969
2000	0.07014244213314669
2040	0.07022733285284631
2080	0.06908628405071796
2120	0.06943736698758585
2160	0.06807989095395897
2200	0.06583992642390513
2240	0.06502139951317076
2280	0.0655983574801212
2320	0.06464796156715238
2360	0.06390685620717705
2400	0.06326645996523439
2440	0.06403699353286356
2480	0.0634506971904557
2520	0.06244826315787577
2560	0.062027344023226766
2600	0.06330888104821497
2640	0.062027180348832194
2680	0.06334184869674574
2720	0.06166992016242148
2760	0.061986011100361796
2800	0.06187127204093486
2840	0.06076251017593677
2880	0.058605481480663
2920	0.05773083593085176
2960	0.05728619246610833
3000	0.05708679034169109
3040	0.05776663326664675
3080	0.05706244558600702
3120	0.05715591230268729
3160	0.056701205325407504
3200	0.05659842146569645
3240	0.05464379595241553
3280	0.05421834371022669
3320	0.05374847392599805
3360	0.04663929878779527
3400	0.04489161339110979
3440	0.045246802535712054
3480	0.0454190244604888
3520	0.04578737111210103
3560	0.047397111917098306
3600	0.046429340306667656
3640	0.04451006898275409
3680	0.04448535587775951
3720	0.04539676232789134
3760	0.04607728279870571
3800	0.046810989030086604
3840	0.04869797065432522
3880	0.04927664794840894
3920	0.048645982776088205
3960	0.04871578767492793
4000	0.04762800938740384
