Batch	VLoss
40	0.03679502512224846
80	0.033048244348416723
120	0.032809004355739385
160	0.032745218363642276
200	0.03270266338303271
240	0.032651693404962615
280	0.03257999431419496
320	0.03246900767812298
360	0.032290053728502244
400	0.03198882886337944
440	0.03150463251060703
480	0.030621765317240108
520	0.028645347011560157
560	0.026443669792368178
600	0.02872370253317058
640	0.02339900166649992
680	0.022737054949781545
720	0.022028281722062577
760	0.02167064251908515
800	0.021227956351746492
840	0.021066292321645756
880	0.020919984966490623
920	0.020753583094726004
960	0.020633921163001407
1000	0.02067264363803487
1040	0.02036457499101137
1080	0.020176634017843753
1120	0.020101115676677887
1160	0.020708432957892202
1200	0.020303835995340098
1240	0.020287911672817748
1280	0.019835267652524635
1320	0.019753638952453103
1360	0.01961510942136455
1400	0.019510328323425103
1440	0.019452104141237214
1480	0.019303921771804903
1520	0.01923176557304234
1560	0.019106029017065238
1600	0.019020167192340724
1640	0.019035599094220538
1680	0.017263385716230713
1720	0.01654959615229422
1760	0.017813488769914124
1800	0.014880949359697599
1840	0.014169230410415264
1880	0.015138941707037803
1920	0.01346501480697447
1960	0.014006590283113634
2000	0.01354289321332342
2040	0.012429216381860897
2080	0.012146087592959197
2120	0.011832654434126904
2160	0.011675163353275921
2200	0.01143640882219188
2240	0.011255213091822548
2280	0.011069724342734035
2320	0.010966486156879302
2360	0.010893617012900196
2400	0.010696068902487038
2440	0.01074140163028561
2480	0.010657139730432795
2520	0.011085283289301312
2560	0.01046353373547188
2600	0.01050142883549496
2640	0.010251150788260726
2680	0.010072345112954887
2720	0.00995997850744364
2760	0.010274196376687743
2800	0.010230510059045628
2840	0.009957667460387003
2880	0.009594739612010824
2920	0.009568754278815402
2960	0.009335205573329909
3000	0.009391692488861736
3040	0.009264377435708107
3080	0.009395387185375309
3120	0.00925034924390881
3160	0.009216545019525154
3200	0.009255352345159432
3240	0.009245640981033728
3280	0.009244358249108901
3320	0.009022753066447977
3360	0.009585652969690273
3400	0.010036549285561906
3440	0.009165738063731825
3480	0.008849057728083505
3520	0.008867166499435876
3560	0.008833198099940393
3600	0.008766563127412356
3640	0.009282485027749013
3680	0.00872980115349896
3720	0.008670699295786713
3760	0.008713849620714123
3800	0.008627041221188847
3840	0.008659440453710785
3880	0.008912889387526471
3920	0.008673393594209402
3960	0.0085150843725488
4000	0.008648479209215212
